Name,Team,ADP,MIN,MAX,Spread,Leagues Drafted
Shohei Ohtani,LAD,1.2727272727272727,1,3,2,22.0
Aaron Judge,NYY,2.090909090909091,1,4,3,22.0
Bobby Witt Jr.,KC,2.772727272727273,1,4,3,22.0
Juan Soto,NYM,4.363636363636363,3,6,3,22.0
Jose Ramirez,CLE,5.636363636363637,4,9,5,22.0
Ronald Acuna Jr.,ATL,6.0,3,10,7,22.0
Tarik Skubal,DET,7.0,4,11,7,22.0
Julio Rodriguez,SEA,9.136363636363637,6,13,7,22.0
Elly De La Cruz,CIN,8.727272727272727,5,13,8,22.0
Paul Skenes,PIT,9.590909090909092,8,13,5,22.0
Garrett Crochet,BOS,11.818181818181818,9,18,9,22.0
Kyle Tucker,LAD,12.318181818181818,8,16,8,22.0
Gunnar Henderson,BAL,14.136363636363637,12,19,7,22.0
Corbin Carroll,ARZ,14.181818181818182,9,25,16,22.0
Vladimir Guerrero Jr.,TOR,17.454545454545453,14,21,7,22.0
Cal Raleigh,SEA,18.454545454545453,12,25,13,22.0
Junior Caminero,TB,17.0,12,19,7,22.0
Fernando Tatis Jr.,SD,13.318181818181818,11,18,7,22.0
Francisco Lindor,NYM,24.181818181818183,17,32,15,22.0
Jackson Chourio,MLW,19.454545454545453,15,23,8,22.0
Pete Alonso,BAL,24.545454545454547,18,34,16,22.0
Kyle Schwarber,PHI,23.136363636363637,16,29,13,22.0
Jazz Chisholm Jr.,NYY,20.227272727272727,16,26,10,22.0
Nick Kurtz,ATH,21.545454545454547,15,30,15,22.0
Cristopher Sanchez,PHI,27.181818181818183,14,37,23,22.0
Trea Turner,PHI,25.40909090909091,22,30,8,22.0
Zach Neto,LAA,29.5,23,42,19,22.0
Ketel Marte,ARZ,32.95454545454545,21,42,21,22.0
Yoshinobu Yamamoto,LAD,27.136363636363637,20,35,15,22.0
Hunter Brown,HOU,37.18181818181818,26,55,29,22.0
Edwin Diaz,LAD,31.454545454545453,20,42,22,22.0
James Wood,WAS,36.18181818181818,25,47,22,22.0
Bryan Woo,SEA,35.54545454545455,28,44,16,22.0
Logan Gilbert,SEA,37.77272727272727,31,54,23,22.0
